"ind_date_anchor","ind_obs_note","ind_place","ind_num_Death: Overdose Death","ind_num_Death: Illicit Opioid Overdose","ind_num_CSRS: Patients Receiving Buprenorphine","ind_num_CSRS: Patients Receiving Opioids","ind_num_DMH: Treatment Services","ind_num_DSS: Foster Care due to Parental SU","ind_num_ED Visits: Overdose ED Visit","ind_denom_Death: Overdose Death","ind_denom_Death: Illicit Opioid Overdose","ind_denom_CSRS: Patients Receiving Buprenorphine","ind_denom_CSRS: Patients Receiving Opioids","ind_denom_DMH: Treatment Services","ind_denom_DSS: Foster Care due to Parental SU","ind_denom_ED Visits: Overdose ED Visit","ind_rate_Death: Overdose Death","ind_rate_Death: Illicit Opioid Overdose","ind_rate_CSRS: Patients Receiving Buprenorphine","ind_rate_CSRS: Patients Receiving Opioids","ind_rate_DMH: Treatment Services","ind_rate_DSS: Foster Care due to Parental SU","ind_rate_ED Visits: Overdose ED Visit"
"2012",NA,"Cleveland",15,5,NA,NA,NA,NA,NA,97317,15,NA,NA,NA,NA,NA,15.4,33.333333333,NA,NA,NA,NA,NA
"2012",NA,"Columbus",10,1,NA,NA,NA,NA,NA,57534,10,NA,NA,NA,NA,NA,17.4,10,NA,NA,NA,NA,NA
"2012",NA,"Craven",11,0,NA,NA,NA,NA,NA,105319,11,NA,NA,NA,NA,NA,10.4,0,NA,NA,NA,NA,NA
"2012",NA,"Cumberland",45,1,NA,NA,NA,NA,NA,329985,45,NA,NA,NA,NA,NA,13.6,2.222222222,NA,NA,NA,NA,NA
"2012",NA,"Currituck",4,1,NA,NA,NA,NA,NA,24025,4,NA,NA,NA,NA,NA,16.6,25,NA,NA,NA,NA,NA
"2012",NA,"Dare",7,1,NA,NA,NA,NA,NA,34383,7,NA,NA,NA,NA,NA,20.4,14.285714286,NA,NA,NA,NA,NA
"2012",NA,"Davidson",29,2,NA,NA,NA,NA,NA,163040,29,NA,NA,NA,NA,NA,17.8,6.896551724,NA,NA,NA,NA,NA
"2012",NA,"Davie",6,0,NA,NA,NA,NA,NA,41281,6,NA,NA,NA,NA,NA,14.5,0,NA,NA,NA,NA,NA
"2012",NA,"Duplin",5,0,NA,NA,NA,NA,NA,59449,5,NA,NA,NA,NA,NA,8.4,0,NA,NA,NA,NA,NA
"2012",NA,"Durham",22,1,NA,NA,NA,NA,NA,282659,22,NA,NA,NA,NA,NA,7.8,4.545454545,NA,NA,NA,NA,NA
"2012",NA,"Edgecombe",8,0,NA,NA,NA,NA,NA,55675,8,NA,NA,NA,NA,NA,14.4,0,NA,NA,NA,NA,NA
"2012",NA,"Forsyth",44,6,NA,NA,NA,NA,NA,357598,44,NA,NA,NA,NA,NA,12.3,13.636363636,NA,NA,NA,NA,NA
"2012",NA,"Franklin",9,0,NA,NA,NA,NA,NA,61405,9,NA,NA,NA,NA,NA,14.7,0,NA,NA,NA,NA,NA
"2012",NA,"Gaston",50,8,NA,NA,NA,NA,NA,207903,50,NA,NA,NA,NA,NA,24,16,NA,NA,NA,NA,NA
"2012",NA,"Gates",2,0,NA,NA,NA,NA,NA,11890,2,NA,NA,NA,NA,NA,16.8,0,NA,NA,NA,NA,NA
"2012",NA,"Graham",5,0,NA,NA,NA,NA,NA,8707,5,NA,NA,NA,NA,NA,57.4,0,NA,NA,NA,NA,NA
"2012",NA,"Granville",9,0,NA,NA,NA,NA,NA,57557,9,NA,NA,NA,NA,NA,15.6,0,NA,NA,NA,NA,NA
"2012",NA,"Greene",2,0,NA,NA,NA,NA,NA,21191,2,NA,NA,NA,NA,NA,9.4,0,NA,NA,NA,NA,NA
"2012",NA,"Guilford",53,1,NA,NA,NA,NA,NA,500514,53,NA,NA,NA,NA,NA,10.6,1.886792453,NA,NA,NA,NA,NA
"2012",NA,"Halifax",5,0,NA,NA,NA,NA,NA,53732,5,NA,NA,NA,NA,NA,9.3,0,NA,NA,NA,NA,NA
"2012",NA,"Harnett",20,2,NA,NA,NA,NA,NA,122204,20,NA,NA,NA,NA,NA,16.4,10,NA,NA,NA,NA,NA
"2012",NA,"Haywood",17,2,NA,NA,NA,NA,NA,58640,17,NA,NA,NA,NA,NA,29,11.764705882,NA,NA,NA,NA,NA
"2012",NA,"Henderson",14,3,NA,NA,NA,NA,NA,107768,14,NA,NA,NA,NA,NA,13,21.428571429,NA,NA,NA,NA,NA
"2012",NA,"Hertford",2,1,NA,NA,NA,NA,NA,24600,2,NA,NA,NA,NA,NA,8.1,50,NA,NA,NA,NA,NA
"2012",NA,"Hoke",2,0,NA,NA,NA,NA,NA,50483,2,NA,NA,NA,NA,NA,4,0,NA,NA,NA,NA,NA
"2012",NA,"Hyde",1,0,NA,NA,NA,NA,NA,5689,1,NA,NA,NA,NA,NA,17.6,0,NA,NA,NA,NA,NA
"2012",NA,"Iredell",24,2,NA,NA,NA,NA,NA,162670,24,NA,NA,NA,NA,NA,14.8,8.333333333,NA,NA,NA,NA,NA
